,Rank (2017),City,Counties,State,Mayor,Nickname,Population Estimate (2017),2010 Census,Change,2016 Land Area (sq mi),2016 Population Density (per sq mi),"Location (N,W)"
259,260.0,High Point,"Guilford, Davidson, Randolph, Forsyth",North Carolina,Jay W. Wagner,Home Furnishings and Hosiery Capital of the World,112316,104371,+7.61%,55.2,2015,"(35.9900, 79.9905)"
260,261.0,Downey,Los Angeles,California,Rick Rodriguez,None,112269,111772,+0.44%,12.4,9134,"(33.9382, 118.1309)"
261,262.0,Clovis,Fresno,California,Bob Whalen ,None,112022,95631,+17.14%,24.2,4404,"(36.8282, 119.6849)"
262,263.0,Pompano Beach,Broward,Florida,Rex Hardin,None,111954,99845,+12.13%,24.0,4558,"(26.2416, 80.1339)"
263,264.0,Pueblo,Pueblo,Colorado,Nick Gradisar,Home of Heroes,111750,106595,+4.84%,53.6,2058,"(38.2699, 104.6123)"
264,265.0,Elgin,"Kane, Cook",Illinois,Dave Kaptain,Watch City,111683,108188,+3.23%,37.4,2998,"(42.0396, 88.3217)"
265,266.0,Lowell,Middlesex,Massachusetts,William Samaras,Mill City,111670,106519,+4.84%,13.6,8129,"(42.6390, 71.3211)"
266,267.0,Antioch,Contra Costa,California,Sean Wright,None,111535,102372,+8.95%,29.4,3772,"(37.9791, 121.7962)"
267,268.0,West Palm Beach,Palm Beach,Florida,Keith James ,Orchid City,111398,99919,+11.49%,55.1,1963,"(26.7464, 80.1251)"
268,269.0,Peoria,Peoria,Illinois,Jim Ardis,None,111388,115007,-3.15%,48.2,2371,"(40.7515, 89.6174)"
269,270.0,Everett,Snohomish,Washington,Cassie Franklin,None,111262,103019,+8.00%,33.3,3275,"(47.9566, 122.1914)"
270,271.0,Ventura,Ventura,California,Neal Andrews,None,111128,106433,+4.41%,21.8,5027,"(34.2678, 119.2542)"
271,272.0,Centennial,Arapahoe County,Colorado,Cathy Noon,None,110831,100377,+10.41%,29.5,3727,"(39.5906, 104.8691)"
272,273.0,Lakeland,Polk,Florida,Bill Mutz,Swan City,110516,97422,+13.44%,65.9,1615,"(28.0555, 81.9549)"
273,274.0,Gresham,Multnomah,Oregon,Shane Bemis ,None,110158,105594,+4.32%,23.3,4786,"(45.5023, 122.4416)"
274,275.0,Richmond,Contra Costa,California,Tom Butt ,None,110146,103701,+6.21%,30.1,3648,"(37.9523, 122.3606)"
